Service name,Source website URL,Summary text,Self-referral,Age
Young Person’s Club Mosaic Trust,https://www.mosaictrust.org.uk/lgbt-young-persons/,"Weekly sessions for LGBTQ+ young people near Warren Street/Camden town. You can make new friends, sign up for (and help create) workshops, and join the Culture Club, which provides free or discounted trips to LGBTQ+-related cultural experiences like theatre shows and exhibitions.",1,12|13|14|15|16|17|18
Young Adults’ Group Mosaic Trust,https://www.mosaictrust.org.uk/young-adults/,,1,18|19|20|21|22|23|24|25
Mentoring Mosaic Trust,https://www.mosaictrust.org.uk/lgbt-young-persons/,"Impartial, friendly, and trustworthy advice for LGBTQ+ young people from an  older LGBTQ+ person with similar lived experiences. Your mentor can help you to better manage practical issues you might face in areas like relationships, family, or school.",1,12|13|14|15|16|17|18|19|20|21|22|23|24|25
Mosaic Works Mosaic Trust,https://www.mosaictrust.org.uk/lgbt-young-persons/,"Paid one or two week work experience placements for LGBTQ+ young people, aiming to reduce the barriers young LGBTQ+ people face to entering and thriving in work. Placements are with companies who have signed up to be Mosaic Works Sponsors.",1,15|16|17|18|19|20|21|22|23|24|25
Online counselling Mosaic Trust,https://www.mosaictrust.org.uk/lgbt-young-persons/,"Counselling for young LGBTQ+ people to promote self-understanding and self-acceptance. The counsellors all identity as lesbian, gay, bi, or trans and work with young people to help them understand their emotions and past experiences, while helping them learn strategies to better manage their lives.",1,12|13|14|15|16|17|18|19|20|21|22|23|24|25
"Support for young refugees, asylum seekers, and unaccompanied minors in the UK Paiwand",https://paiwand.com,"A range of services for young refugees, asylum seekers, and unaccompanied minors in the UK including one-to-one mentoring. Paiwand offers practical guidance and emotional support in English, Dari, Pashto, and Farsi. Counselling is available in Arabic and English for people aged 15 to 30.",1,11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
One-to-one support Young Roots,https://www.youngroots.org.uk/casework-service,"Practical and emotional support to help young asylum seekers and refuguees navigate whatever challenges they’re facing, including the asylum system, age assessments, homelessness, detention, mental health, and education. You can drop in to the hub without an appointment – the Brent hub supports young people from Brent and the surrounding area. ",1,14|15|16|17|18|19|20|21|22|23|24|25
Activities for young refuees and asylum seekers Young Roots,https://www.youngroots.org.uk/youth-activities,"Activities including sports, arts and creative sessions, and English languaage and homework support. You can drop in to the hub without an appointment – the Brent hub can also support young people from neighbouring boroughs.",1,14|15|16|17|18|19|20|21|22|23|24|25
"Information, advice, and workshops SAAFI",https://www.saafi.org.uk,"A range of services from a community-based organisation inluding advice and information, training and workshops, and helping people access the support they need. SAAFI was founded by British-Somali mothers, but extends its services to all communities where English is not their first language.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Therapy for survivors of torture Freedom from Torture,https://www.freedomfromtorture.org/get-support/therapy-and-practical-help,"Trauma-focused therapy for children and adults of all genders who have survived physical and psychological torture or organised violence, as well as further services for survivors of torture including creative group activities and social groups and practical advice for those seeking asylum.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Support for young carers Honeypot,https://www.honeypot.org.uk/our-services,"A range of offers for young carers including memory making days, breaks to help young people progress in education, respite breaks, and a wellbeing fund to help young carers from deprived backgrounds to access essential items. Young carers need to be referred by a professional, like someone at school or a young carers’ organisation.",,8|9|10|11|12
Brent Young Carers Service Brent Carers Centre,https://brentcarerscentre.org.uk/what-we-do/young-carers/,"A range of support for young carers, including advice and information, a space to chat, opportunities to meet other young carers, support groups, and social activities.",1,14|15|16|17|18|19|20|21|22|23|24|25
Supportive Action for Families in Ealing Ealing Council,https://www.ealing.gov.uk/info/201023/children_and_families_social_care/1187/safe_-_supportive_action_for_families_in_ealing,"Supportive Action for Families in Ealing (SAFE) supports families by giving them information and advice and supporting them to get the right help as soon as possible, so a manageable problem does not get bigger. SAFE can help with young people’s mental health, behaviour, drug and alcohol use, and home situations, as well as teenage pregnancy.",1,
